# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 19:11:23 BRT 2023 [seed=333]
# -seed 333 -prefix seed3 simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-19433.969354751574	-8.448675856603122	-19425.520678894973	0.8867871097285965	2.0186222794178934	1.0	0.2	0.19999999999999998	-19425.520678894973	0.0	-1.533589215960213
1000	-14718.189085999096	-9.471165540076816	-14708.71792045902	0.421469038954941	1.67900335170321	1.0	0.2	0.2	-14708.71792045902	0.0	-2.556078899433906
2000	-14717.716569503455	-9.482169685089834	-14708.234399818364	0.4267215960389085	1.6914564969192816	1.0	0.2	0.19999999999999998	-14708.234399818364	0.0	-2.567083044446925
3000	-14717.06592142621	-9.521152004249535	-14707.54476942196	0.43377784403467257	1.7171108201603942	1.0	0.2	0.2	-14707.54476942196	0.0	-2.6060653636066253
4000	-14717.120742134979	-9.527550720064113	-14707.593191414915	0.4361810957904327	1.7255301639147314	1.0	0.2	0.20000000000000004	-14707.593191414915	0.0	-2.612464079421204
5000	-14719.1198076226	-9.420825751405781	-14709.698981871194	0.41585108564280115	1.6509661200956982	1.0	0.2	0.2	-14709.698981871194	0.0	-2.5057391107628715
6000	-14717.703007863664	-9.599174006269767	-14708.103833857394	0.44533555859821267	1.7671546661379098	1.0	0.2	0.20000000000000004	-14708.103833857394	0.0	-2.6840873656268562
7000	-14717.628558562648	-9.475812151256974	-14708.152746411391	0.4251573719564817	1.687758465885594	1.0	0.2	0.20000000000000004	-14708.152746411391	0.0	-2.5607255106140645
8000	-14720.218126614229	-9.448530648599528	-14710.769595965628	0.4379682486961157	1.701226661940122	1.0	0.2	0.19999999999999998	-14710.769595965628	0.0	-2.5334440079566183
9000	-14719.164627543714	-9.544685245757705	-14709.619942297957	0.45841318628339905	1.7631758206932864	1.0	0.2	0.19999999999999998	-14709.619942297957	0.0	-2.6295986051147953
10000	-14717.773736143814	-9.551374285720668	-14708.222361858094	0.4348780297473408	1.7317773957764881	1.0	0.2	0.20000000000000004	-14708.222361858094	0.0	-2.6362876450777577
11000	-14718.761170638696	-9.644304682785128	-14709.116865955912	0.4534362606803325	1.7948520734472175	1.0	0.2	0.2000000000000001	-14709.116865955912	0.0	-2.729218042142218
12000	-14718.299965823446	-9.515741840922207	-14708.784223982524	0.429583054752202	1.7051961280192283	1.0	0.2	0.19999999999999998	-14708.784223982524	0.0	-2.600655200279297
13000	-14717.944779713653	-9.57386118852725	-14708.370918525125	0.43427759632072177	1.7356868243725359	1.0	0.2	0.2	-14708.370918525125	0.0	-2.6587745478843408
14000	-14721.191981542792	-9.673675022596644	-14711.518306520195	0.44775018224556773	1.7961750147342856	1.0	0.2	0.19999999999999996	-14711.518306520195	0.0	-2.7585883819537345
15000	-14721.01798519507	-9.716767801708592	-14711.301217393362	0.4599849956263529	1.8375797702922332	1.0	0.2	0.20000000000000004	-14711.301217393362	0.0	-2.801681161065681
16000	-14717.917957164716	-9.538362937763416	-14708.379594226953	0.4356333079021663	1.7245794392461298	1.0	0.2	0.19999999999999998	-14708.379594226953	0.0	-2.623276297120506
17000	-14717.231683329941	-9.525533527970094	-14707.70614980197	0.4468856017105096	1.7405166528220555	1.0	0.2	0.20000000000000004	-14707.70614980197	0.0	-2.610446887327184
18000	-14718.003491373658	-9.508584120183269	-14708.494907253475	0.4312127838547686	1.7058793914112573	1.0	0.2	0.2	-14708.494907253475	0.0	-2.5934974795403587
19000	-14717.579723244331	-9.487965707453942	-14708.091757536877	0.4386890149660351	1.7150063962960924	1.0	0.2	0.20000000000000007	-14708.091757536877	0.0	-2.572879066811032
20000	-14718.519407799316	-9.442613658966584	-14709.07679414035	0.4194732044459813	1.6630804193470419	1.0	0.2	0.2	-14709.07679414035	0.0	-2.5275270183236738
21000	-14719.862508041268	-9.608650563529428	-14710.253857477737	0.440286148522412	1.7547756262358518	1.0	0.2	0.2	-14710.253857477737	0.0	-2.693563922886518
22000	-14718.091303576037	-9.483921227489192	-14708.607382348548	0.4282812236179725	1.6985259294160446	1.0	0.2	0.20000000000000004	-14708.607382348548	0.0	-2.5688345868462825
