# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 19:12:50 BRT 2023 [seed=444]
# -seed 444 -prefix seed4 simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-20322.782915475953	-14.324538740645428	-20308.458376735307	2.642075562574629	7.256415596527909	1.0	0.2	0.19999999999999998	-20308.458376735307	0.0	-7.409452100002518
1000	-14727.385748198736	-9.475073016503988	-14717.910675182233	0.43195484472880474	1.7005238604926671	1.0	0.2	0.2	-14717.910675182233	0.0	-2.5599863758610772
2000	-14717.739564327869	-9.488162797414532	-14708.251401530455	0.4272405831957164	1.6938518919121517	1.0	0.2	0.19999999999999993	-14708.251401530455	0.0	-2.5730761567716214
3000	-14719.990773397407	-9.505264835379071	-14710.485508562027	0.442072014148253	1.7291645195396081	1.0	0.2	0.20000000000000007	-14710.485508562027	0.0	-2.5901781947361617
4000	-14718.534377646989	-9.572038041733604	-14708.962339605256	0.4362813757484581	1.737314954981077	1.0	0.2	0.2	-14708.962339605256	0.0	-2.6569514010906947
5000	-14719.894605757661	-9.514642951548623	-14710.379962806113	0.4350946397346166	1.7142715807207187	1.0	0.2	0.2	-14710.379962806113	0.0	-2.5995563109057125
6000	-14720.326088185808	-9.52645667942349	-14710.799631506385	0.4497582823678104	1.7529731623918128	1.0	0.2	0.20000000000000004	-14710.799631506385	0.0	-2.61137003878058
7000	-14719.668304360861	-9.512864645798153	-14710.155439715063	0.43938817696843613	1.7168545402210915	1.0	0.2	0.19999999999999998	-14710.155439715063	0.0	-2.5977780051552437
8000	-14720.430421515017	-9.58535169715645	-14710.84506981786	0.4533851317629182	1.7799924162411949	1.0	0.2	0.19999999999999998	-14710.84506981786	0.0	-2.6702650565135397
9000	-14718.485275053225	-9.588272604790685	-14708.897002448433	0.4342297307102083	1.7402240474740347	1.0	0.2	0.20000000000000004	-14708.897002448433	0.0	-2.6731859641477755
10000	-14717.569600789167	-9.50711104048061	-14708.062489748687	0.43055455764522327	1.7103384779662953	1.0	0.2	0.20000000000000004	-14708.062489748687	0.0	-2.5920243998377
11000	-14718.230425160236	-9.553295877287642	-14708.677129282949	0.44625292279341283	1.755826168159236	1.0	0.2	0.20000000000000004	-14708.677129282949	0.0	-2.638209236644733
