# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 20:06:03 BRT 2023 [seed=333]
# -seed 333 -prefix seed3 coal_prior_ntaxa=5.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-8.448675856603122	-8.448675856603122	0.0	0.8867871097285965	2.0186222794178934	1.0	0.2	0.19999999999999998	0.0	0.0	-1.533589215960213
1000	-12.161927737962316	-12.161927737962316	-3.3306690738754696E-16	1.1456676006399797	3.841965848906197	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-5.246841097319406
2000	-11.085789154635599	-11.085789154635599	0.0	1.0823303966522122	3.3747088830170657	1.0	0.2	0.20000000000000004	0.0	0.0	-4.170702513992689
3000	-12.472637657290846	-12.472637657290846	0.0	2.5523803298070225	6.280939490543238	1.0	0.2	0.20000000000000004	0.0	0.0	-5.5575510166479365
4000	-10.291108632411927	-10.291108632411927	0.0	2.808459053491261	5.82308759292291	1.0	0.2	0.20000000000000004	0.0	0.0	-3.3760219917690177
5000	-16.494460634755903	-16.494460634755903	0.0	2.191242190218807	7.240046471107205	1.0	0.2	0.2	0.0	0.0	-9.579373994112995
6000	-9.152429569269028	-9.152429569269028	0.0	0.7152196181034102	2.068949557835775	1.0	0.2	0.19999999999999998	0.0	0.0	-2.2373429286261177
7000	-11.389095255573036	-11.389095255573036	-3.3306690738754696E-16	1.1174009239975817	3.6452262607065578	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-4.474008614930126
8000	-8.703484120175382	-8.703484120175382	0.0	0.6558823687194525	1.8000933290482806	1.0	0.2	0.2	0.0	0.0	-1.7883974795324713
9000	-15.446580495980768	-15.446580495980768	-3.3306690738754696E-16	2.1417288523912155	7.078198403663077	1.0	0.2	0.19999999999999998	-3.3306690738754696E-16	0.0	-8.531493855337859
10000	-16.03850530994911	-16.03850530994911	0.0	2.7253344179785315	7.920179496945677	1.0	0.2	0.19999999999999998	0.0	0.0	-9.123418669306199
11000	-8.85760913715698	-8.85760913715698	-3.3306690738754696E-16	0.8501444272993424	2.14569562669164	1.0	0.2	0.19999999999999998	-3.3306690738754696E-16	0.0	-1.9425224965140697
12000	-10.318184849030303	-10.318184849030303	-3.3306690738754696E-16	2.3174210519407152	5.060945859114351	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-3.4030982083873926
13000	-10.01376570874277	-10.01376570874277	0.0	1.6306294865664004	3.7760123258259823	1.0	0.2	0.19999999999999998	0.0	0.0	-3.0986790680998597
14000	-13.400477550821424	-13.400477550821424	0.0	5.209017854816383	10.935510148608804	1.0	0.2	0.2	0.0	0.0	-6.485390910178514
15000	-9.310707690191663	-9.310707690191663	0.0	1.832883502112794	3.8866997935618337	1.0	0.2	0.19999999999999998	0.0	0.0	-2.395621049548753
16000	-17.30032000548988	-17.30032000548988	0.0	1.851945943450882	6.994674217843109	1.0	0.2	0.19999999999999996	0.0	0.0	-10.38523336484697
17000	-10.120905809286182	-10.120905809286182	0.0	2.272417891971972	4.951648714728866	1.0	0.2	0.2	0.0	0.0	-3.205819168643272
18000	-12.830778990912702	-12.830778990912702	-3.3306690738754696E-16	1.936146941691061	5.6695487681295935	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-5.915692350269793
19000	-8.512066694000582	-8.512066694000582	0.0	0.5315608676107053	1.5176547382103704	1.0	0.2	0.20000000000000004	0.0	0.0	-1.5969800533576728
20000	-10.916807063942695	-10.916807063942695	6.661338147750938E-16	1.0481148796664908	3.247108663874382	1.0	0.2	0.19999999999999998	6.661338147750938E-16	0.0	-4.001720423299786
21000	-8.41687927061252	-8.41687927061252	0.0	0.9129130469698242	2.1024561324300084	1.0	0.2	0.20000000000000007	0.0	0.0	-1.5017926299696105
22000	-11.469617077821175	-11.469617077821175	0.0	1.2410353817011686	3.813026215549996	1.0	0.2	0.2	0.0	0.0	-4.554530437178265
23000	-14.397799819855456	-14.397799819855456	0.0	3.572189263420729	8.885417930355823	1.0	0.2	0.19999999999999998	0.0	0.0	-7.482713179212546
24000	-9.653425760029013	-9.653425760029013	-3.3306690738754696E-16	0.8126811763148967	2.3989706429522273	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-2.7383391193861026
25000	-11.542236752810341	-11.542236752810341	0.0	1.8708026661847916	4.916207182569829	1.0	0.2	0.20000000000000004	0.0	0.0	-4.627150112167431
26000	-8.140891085644945	-8.140891085644945	6.661338147750938E-16	0.603728368790683	1.44638220744416	1.0	0.2	0.19999999999999998	6.661338147750938E-16	0.0	-1.2258044450020353
27000	-7.995471936287691	-7.995471936287691	0.0	0.556326815535249	1.316837298112948	1.0	0.2	0.20000000000000004	0.0	0.0	-1.080385295644781
28000	-10.253497008760988	-10.253497008760988	-3.3306690738754696E-16	0.9542747705429493	2.887800552831682	1.0	0.2	0.19999999999999998	-3.3306690738754696E-16	0.0	-3.338410368118077
29000	-12.957714878170657	-12.957714878170657	0.0	1.8388379741989893	5.463368111927113	1.0	0.2	0.20000000000000004	0.0	0.0	-6.042628237527747
30000	-8.175475969621473	-8.175475969621473	6.661338147750938E-16	0.33213344430527925	1.0120110470864825	1.0	0.2	0.2	6.661338147750938E-16	0.0	-1.260389328978564
31000	-12.388051618702688	-12.388051618702688	0.0	3.595173668563105	8.038078058946876	1.0	0.2	0.19999999999999998	0.0	0.0	-5.472964978059778
32000	-10.622317083101393	-10.622317083101393	0.0	1.7367508899159971	4.270870622079515	1.0	0.2	0.2	0.0	0.0	-3.7072304424584828
33000	-11.24951825482832	-11.24951825482832	0.0	2.217614941329697	5.215248384591733	1.0	0.2	0.19999999999999998	0.0	0.0	-4.3344316141854105
34000	-11.058997604763906	-11.058997604763906	0.0	2.8258010648012513	6.177349056854616	1.0	0.2	0.20000000000000007	0.0	0.0	-4.143910964120997
