# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 20:04:16 BRT 2023 [seed=111]
# -seed 111 -prefix seed1 coal_prior_ntaxa=5.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-12.330065860651407	-12.330065860651407	0.0	3.296992361345218	7.422420265619431	1.0	0.2	0.2	0.0	0.0	-5.414979220008497
1000	-9.27630158044138	-9.27630158044138	0.0	0.5304298726572264	1.7809845099827666	1.0	0.2	0.19999999999999998	0.0	0.0	-2.3612149397984714
2000	-9.459262783982894	-9.459262783982894	0.0	0.9015759117539609	2.4737894660702837	1.0	0.2	0.19999999999999998	0.0	0.0	-2.5441761433399837
3000	-11.10200018453729	-11.10200018453729	-3.3306690738754696E-16	1.2130287385964684	3.7391976906832713	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-4.186913543894381
4000	-13.88734679425601	-13.88734679425601	0.0	2.733998658072307	7.017833786463246	1.0	0.2	0.2	0.0	0.0	-6.9722601536130995
5000	-7.54681657658552	-7.54681657658552	-3.3306690738754696E-16	0.20474327283168678	0.5916376118622779	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-0.6317299359426101
6000	-15.292616230017854	-15.292616230017854	0.0	4.088089754470315	9.915165865032982	1.0	0.2	0.2	0.0	0.0	-8.377529589374944
7000	-12.70814441344608	-12.70814441344608	0.0	2.173540596210626	5.958647480272502	1.0	0.2	0.2	0.0	0.0	-5.79305777280317
8000	-12.004219517282763	-12.004219517282763	0.0	0.9321119710822443	3.475745542264753	1.0	0.2	0.19999999999999998	0.0	0.0	-5.089132876639853
9000	-11.545906216548783	-11.545906216548783	0.0	2.760628374107947	6.262355093239745	1.0	0.2	0.2	0.0	0.0	-4.630819575905874
10000	-10.93706289926984	-10.93706289926984	0.0	0.876368532325815	2.8927687868224288	1.0	0.2	0.19999999999999996	0.0	0.0	-4.021976258626929
11000	-12.237926475488754	-12.237926475488754	0.0	2.0126429367412833	5.511404964476809	1.0	0.2	0.2	0.0	0.0	-5.322839834845844
12000	-13.547456890451791	-13.547456890451791	0.0	3.016051254527497	7.5148175845731915	1.0	0.2	0.2	0.0	0.0	-6.632370249808881
13000	-12.682142682846045	-12.682142682846045	0.0	1.2967327950701486	4.260393646827252	1.0	0.2	0.20000000000000004	0.0	0.0	-5.767056042203135
14000	-10.495335711051254	-10.495335711051254	-6.661338147750941E-16	1.0549359029732521	3.2130858805711	1.0	0.2	0.19999999999999998	-6.661338147750941E-16	0.0	-3.580249070408345
15000	-12.355554414736641	-12.355554414736641	-3.3306690738754696E-16	1.332216510336174	4.346666889253419	1.0	0.2	0.19999999999999998	-3.3306690738754696E-16	0.0	-5.440467774093731
16000	-16.00347249865073	-16.00347249865073	-3.3306690738754696E-16	1.9054808760651314	6.771594141952608	1.0	0.2	0.20000000000000004	-3.3306690738754696E-16	0.0	-9.088385858007822
17000	-11.847559966531904	-11.847559966531904	0.0	2.79878750874095	6.573393701969417	1.0	0.2	0.19999999999999998	0.0	0.0	-4.932473325888993
18000	-10.117903836854522	-10.117903836854522	-3.3306690738754696E-16	2.083071143668114	4.6839962172664436	1.0	0.2	0.2	-3.3306690738754696E-16	0.0	-3.202817196211612
19000	-12.133901288998318	-12.133901288998318	0.0	1.5130986027704258	4.463871532328033	1.0	0.2	0.20000000000000004	0.0	0.0	-5.2188146483554085
20000	-8.03211540520233	-8.03211540520233	6.661338147750938E-16	0.5017517709748622	1.264816943818159	1.0	0.2	0.2	6.661338147750938E-16	0.0	-1.1170287645594204
21000	-9.507906796884093	-9.507906796884093	0.0	0.5753720361682189	1.8866286733728972	1.0	0.2	0.19999999999999996	0.0	0.0	-2.5928201562411837
22000	-8.417475839702565	-8.417475839702565	0.0	0.6376257054859458	1.6578800396157476	1.0	0.2	0.19999999999999998	0.0	0.0	-1.5023891990596547
23000	-10.202221350507955	-10.202221350507955	0.0	1.3564757218818535	3.469603027152299	1.0	0.2	0.20000000000000004	0.0	0.0	-3.2871347098650454
24000	-9.913188738846838	-9.913188738846838	0.0	0.8360174403767118	2.519903931177371	1.0	0.2	0.20000000000000004	0.0	0.0	-2.998102098203929
25000	-10.986081980282549	-10.986081980282549	0.0	1.2545087849054322	3.81527190872197	1.0	0.2	0.2	0.0	0.0	-4.070995339639638
26000	-10.991680621182855	-10.991680621182855	0.0	0.8537493778785733	2.884362889785303	1.0	0.2	0.19999999999999998	0.0	0.0	-4.076593980539946
27000	-10.17933997512786	-10.17933997512786	0.0	0.6347402382323233	2.3136349768541224	1.0	0.2	0.20000000000000004	0.0	0.0	-3.264253334484951
28000	-8.087467770204105	-8.087467770204105	0.0	0.29079725899741793	0.9454592246059799	1.0	0.2	0.2	0.0	0.0	-1.172381129561196
29000	-9.870903605343713	-9.870903605343713	0.0	0.7895952709241156	2.443429885551593	1.0	0.2	0.20000000000000004	0.0	0.0	-2.9558169647008032
30000	-8.641198219406093	-8.641198219406093	0.0	0.3675586473603107	1.2671884383544385	1.0	0.2	0.2	0.0	0.0	-1.7261115787631818
31000	-9.554155618159273	-9.554155618159273	0.0	1.4961498428260378	3.397601650764562	1.0	0.2	0.2	0.0	0.0	-2.639068977516363
32000	-9.79555851721304	-9.79555851721304	0.0	0.7209227973250184	2.2453355782675697	1.0	0.2	0.19999999999999998	0.0	0.0	-2.88047187657013
33000	-9.45756714759435	-9.45756714759435	0.0	1.8028777159992115	3.91493995773086	1.0	0.2	0.20000000000000004	0.0	0.0	-2.5424805069514402
34000	-8.789412846526542	-8.789412846526542	-3.3306690738754696E-16	0.6395602713708302	1.759329727008083	1.0	0.2	0.20000000000000004	-3.3306690738754696E-16	0.0	-1.874326205883632
35000	-12.491642087031956	-12.491642087031956	0.0	1.8510202805757916	5.312099905728975	1.0	0.2	0.20000000000000004	0.0	0.0	-5.576555446389046
36000	-13.979719723431261	-13.979719723431261	0.0	1.8774102879988943	5.737837716486691	1.0	0.2	0.20000000000000004	0.0	0.0	-7.064633082788351
37000	-10.969118443122753	-10.969118443122753	0.0	1.3735288981532032	3.711724499941033	1.0	0.2	0.19999999999999998	0.0	0.0	-4.054031802479844
38000	-9.02988538706799	-9.02988538706799	-3.3306690738754696E-16	0.6988509323880038	2.0140817317720634	1.0	0.2	0.20000000000000004	-3.3306690738754696E-16	0.0	-2.1147987464250804
39000	-16.233667311127803	-16.233667311127803	0.0	3.6131768522989183	9.46638940413736	1.0	0.2	0.20000000000000004	0.0	0.0	-9.318580670484895
40000	-10.693281453794889	-10.693281453794889	6.661338147750938E-16	1.6390395304828358	4.1210542366231895	1.0	0.2	0.2	6.661338147750938E-16	0.0	-3.778194813151978
41000	-10.14512353326396	-10.14512353326396	0.0	0.9413200390863321	2.7412987481150006	1.0	0.2	0.2	0.0	0.0	-3.2300368926210505
42000	-13.254045665026972	-13.254045665026972	-3.3306690738754696E-16	3.5040116837296202	8.10199661409425	1.0	0.2	0.20000000000000004	-3.3306690738754696E-16	0.0	-6.338959024384063
43000	-10.995199141700443	-10.995199141700443	0.0	1.646964960858324	4.272473770938676	1.0	0.2	0.20000000000000004	0.0	0.0	-4.080112501057533
44000	-11.45946963508533	-11.45946963508533	0.0	1.6966477627758103	4.561429844797775	1.0	0.2	0.2	0.0	0.0	-4.5443829944424206
45000	-8.831190552314801	-8.831190552314801	-6.661338147750941E-16	0.7774914082739427	1.9460263549919763	1.0	0.2	0.2	-6.661338147750941E-16	0.0	-1.9161039116718905
46000	-9.45588295188251	-9.45588295188251	0.0	1.22732496071729	3.0169633024399967	1.0	0.2	0.2	0.0	0.0	-2.5407963112395993
